Timestamp,/RealOutputs/Drive/module0/angle/Position,/RealOutputs/Drive/measuredStates/0
10.956733,-0.000002641599166963715,28.643009185791016
11.830252,0,28.643009185791016
12.090249,0,28.660991668701175
12.122786,0,28.643009185791016
12.206928,0,28.660991668701175
12.233306,0,28.643009185791016
12.325092,0,28.660991668701175
12.350542,0,28.643009185791016
12.425522,0,28.660991668701175
12.454274,0,28.643009185791016
12.535838,0,28.660991668701175
12.55821,0,28.643009185791016
12.633671,0,28.660991668701175
12.700692,0,28.643009185791016
12.768919,0,28.660991668701175
12.789176,0,28.643009185791016
12.871111,0,28.660991668701175
12.921233,0,28.643009185791016
13.020606,0,28.660991668701175
13.048727,0,28.643009185791016
13.093322,0,28.660991668701175
13.149973,0,28.643009185791016
13.226362,0,28.660991668701175
13.293587,0,28.643009185791016
13.335714,0,28.660991668701175
13.355823,0,28.643009185791016
13.37582,0,28.660991668701175
13.404646,0,28.643009185791016
13.489902,0,28.660991668701175
13.509862,0,28.643009185791016
13.613983,0,28.660991668701175
13.659894,0,28.643009185791016
13.725914,0,28.660991668701175
13.746523,0,28.643009185791016
13.76895,0,28.660991668701175
13.789095,0,28.643009185791016
13.871364,0,28.660991668701175
13.894774,0,28.643009185791016
14.013958,0,28.660991668701175
14.061706,0,28.643009185791016
14.141768,0,28.660991668701175
14.184971,0,28.643009185791016
14.205209,0,28.660991668701175
14.227098,0,28.643009185791016
14.297532,0,28.660991668701175
14.317955,0,28.643009185791016
14.35769,0,28.660991668701175
14.377668,0,28.643009185791016
14.419869,0,28.660991668701175
14.440089,0,28.643009185791016
14.459993,0,28.660991668701175
14.480843,0,28.643009185791016
14.581013,0,28.660991668701175
14.600954,0,28.643009185791016
14.62097,0,28.660991668701175
14.641004,0,28.643009185791016
14.74097,0,28.660991668701175
14.780926,0,28.643009185791016
14.900945,0,28.660991668701175
14.960936,0,28.643009185791016
15.080954,0,28.660991668701175
15.140963,0,28.643009185791016
15.241282,0,28.660991668701175
15.28096,0,28.643009185791016
15.563551,0,28.660991668701175
15.643557,0,28.643009185791016
15.746305,0,28.660991668701175
15.763947,0,28.643009185791016
